metric,world,mean_delta,ci_lower,ci_upper,n_models
Brier_UNC_ci_lo,WJ_concept_drift,-0.2238366607217206,-0.22385083472073197,-0.22381583719230888,7
Brier_UNC_ci_hi,WA_clean,-0.22402004216051427,-0.22403234702866953,-0.22400359089441738,7
Brier_UNC_ci_hi,WB_noise_outliers,-0.22402703277360497,-0.22403263313251648,-0.22402390450516516,7
Brier_UNC_ci_hi,WC_missingness,-0.22403240523520646,-0.22403839753591998,-0.2240265071173994,7
Brier_UNC_ci_hi,WD_shift,-0.22402718861587245,-0.22403278897478393,-0.22402390450516516,7
Brier_UNC_ci_hi,WE_surrogate_corrupt,-0.2240299108741945,-0.22403692770527686,-0.22402431256583918,7
Brier_UNC_ci_hi,WF_nonlinear,-0.22403238706577838,-0.2240407055818995,-0.2240267046846209,7
Brier_UNC_ci_hi,WG_label_noise,-0.14154800852643798,-0.14158503800935035,-0.141510545156433,7
Brier_UNC_ci_hi,WH_subgroup_shift,-0.2240300728681304,-0.22403575319873173,-0.22402456068313342,7
Brier_UNC_ci_hi,WI_prevalence_shift,-0.002510523693290967,-0.00256793545799686,-0.0024714450971466367,7
Brier_UNC_ci_hi,WJ_concept_drift,-0.2240323850152222,-0.2240406655447907,-0.22402653858957272,7
